Id  |Desc                        |Token |X  |Y  |Yoff |Xoff |Xs |Ys |Act |Len |Top  |Wth |Hht |OnMap 
--------------------------------------------------------------------------------------------------------
0   |Test Data                   |NU0   |0  |0  |0    |0    |0  |0  |0   |0   |0    |0   |0   |0     
1   |Casket #5                   |C5    |5  |3  |0    |0    |5  |5  |1   |0   |0    |0   |0   |0     
2   |Shrine                      |SF    |3  |3  |0    |0    |0  |0  |1   |3   |84   |0   |0   |310   
3   |Casket #6                   |C6    |5  |3  |0    |0    |5  |5  |1   |0   |0    |0   |0   |0     
4   |Urn #1                      |U1    |1  |1  |0    |0    |1  |1  |2   |0   |0    |0   |0   |0     
5   |Large Chest R               |L1    |1  |2  |0    |0    |0  |0  |7   |15  |0    |0   |0   |0     
6   |Large Chest L               |L2    |2  |1  |0    |0    |0  |0  |7   |15  |0    |0   |0   |0     
7   |Barrel                      |B1    |1  |1  |0    |0    |2  |2  |1   |0   |0    |0   |0   |0     
8   |Tower Tome                  |TT    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |427   
9   |Urn #2                      |U2    |1  |1  |0    |0    |1  |1  |2   |0   |0    |0   |0   |0     
10  |Bench                       |BE    |7  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
11  |Barrel Exploding            |BX    |1  |1  |0    |0    |2  |2  |1   |0   |0    |0   |0   |0     
12  |Rogue Fountain              |FN    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
13  |Door Gate L                 |D1    |1  |3  |4    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
14  |Door Gate R                 |D2    |3  |1  |4    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
15  |Door Wooden L               |D3    |1  |3  |4    |0    |0  |0  |1   |-20 |-80  |40  |40  |0     
16  |Door Wooden R               |D4    |3  |1  |3    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
17  |StoneAlpha                  |S1    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |314   
18  |StoneBeta                   |S2    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |314   
19  |StoneGamma                  |S3    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |314   
20  |StoneDelta                  |S4    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |314   
21  |StoneLambda                 |S5    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |314   
22  |StoneTheta                  |S6    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |314   
23  |DoorCourtyard L             |D5    |1  |7  |1    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
24  |DoorCourtyard R             |D6    |7  |1  |1    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
25  |DoorCathedralDouble         |D7    |9  |1  |-11  |0    |0  |0  |1   |-20 |-80  |40  |40  |0     
26  |Cain Captured               |GI    |3  |3  |15   |-14  |0  |0  |1   |0   |0    |0   |0   |0     
27  |DoorMonestaryDouble R       |D8    |7  |1  |1    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
28  |Hole In Ground              |HI    |5  |3  |1    |1    |0  |0  |1   |0   |0    |0   |0   |0     
29  |Brazier                     |BR    |1  |1  |0    |0    |0  |0  |7   |0   |0    |0   |0   |0     
30  |Inifuss Tree                |IT    |5  |5  |0    |0    |0  |0  |1   |-40 |-40  |80  |80  |313   
31  |Fountain                    |BF    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
32  |Crucifix                    |CL    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
33  |Candles1                    |A1    |3  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
34  |Candles2                    |A2    |1  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
35  |Standard1                   |N1    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
36  |Standard2                   |N2    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
37  |Torch1 Tiki                 |TO    |1  |1  |0    |0    |0  |0  |7   |0   |0    |0   |0   |0     
38  |Torch2 Wall                 |WT    |1  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
39  |RogueBonfire                |RB    |3  |3  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
40  |River1                      |R1    |0  |0  |-9   |0    |0  |0  |1   |0   |0    |0   |0   |0     
41  |River2                      |R2    |0  |0  |-9   |0    |0  |0  |1   |0   |0    |0   |0   |0     
42  |River3                      |R3    |0  |0  |-9   |0    |0  |0  |1   |0   |0    |0   |0   |0     
43  |River4                      |R4    |0  |0  |-9   |0    |0  |0  |1   |0   |0    |0   |0   |0     
44  |River5                      |R5    |0  |0  |-9   |0    |0  |0  |1   |0   |0    |0   |0   |0     
45  |Ambient Sound               |S1    |0  |0  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
46  |Crate                       |CT    |1  |1  |0    |0    |2  |2  |1   |0   |0    |0   |0   |0     
47  |Andariel's Door             |AD    |7  |1  |1    |1    |0  |0  |1   |-20 |-80  |40  |40  |0     
48  |RogueTorch                  |T1    |2  |1  |0    |0    |0  |0  |1   |0   |0    |0   |0   |0     
